grid_id,lat,lon,count,freq_5yr,freq_10yr,freq_20yr,total_damages,total_deaths,total_affected,avg_duration,top_month,monthly_dist,risk_slope,severity_score,severity_score_normalized,primary_admin1,unique_locations
40_44,40,44,1,1,1,1,60000.0,0.0,64000.0,5.0,May,May:1,,-0.4,8.64,Armavir,Armavir region
40_69,40,69,1,0,0,1,200.0,0.0,1500.0,0.0,January,January:1,,-0.53,4.16,Leninabad,Leninabad Region
40_73,40,73,1,0,0,1,0.0,4.0,9075.0,58.0,January,January:1,,-0.39,9.15,Osh,Osh
41_-112,41,-112,1,0,0,1,150000.0,1.0,442.0,0.0,August,August:1,,-0.27,13.3,Utah,Salt Lake City
41_-78,41,-78,5,0,0,3,3500000.0,168.0,175.0,1.0,December,January:1;February:1;December:3,0.0,0.86,51.84,Pennsylvania,Pennsylvania
41_-8,41,-8,2,1,2,2,4230000.0,56.0,500079.0,1.0,January,January:1;February:1,,0.49,38.98,Porto,"Paredes, Porto"
41_-82,41,-82,1,0,0,1,7000.0,0.0,1952.0,0.0,October,October:1,,-0.45,6.95,Texas,Hondo
41_-85,41,-85,1,0,0,1,700000.0,36.0,4066.0,5.0,November,November:1,,0.26,31.11,Indiana,Allen
41_-93,41,-93,1,1,1,1,2200000.0,2.0,615.0,3.0,March,March:1,,-0.14,17.72,Iowa,Centerville in Appanoose county
41_123,41,123,2,1,1,1,3400000.0,137.0,225160.0,2.0,July,July:1;August:1,,0.63,43.83,Liaoning," Liaoning, Liaonging province"
41_20,41,20,1,0,0,1,0.0,2.0,400000.0,36.0,January,January:1,,-0.47,6.25,Berat,Berat
41_29,41,29,2,1,1,1,600000.0,30.0,270.0,0.0,February,February:1;July:1,,0.34,33.98,Istanbul,Istanbul
41_44,41,44,1,1,1,1,1822.0,0.0,9900.0,1.0,August,August:1,,-0.48,5.9,Shirak,Shirak region
41_85,41,85,8,1,3,7,1069380.0,87.0,2010129.0,5.25,January,January:3;March:1;April:2;June:1;December:1,0.0,0.84,51.2,Xinjiang Uygur,"Xinjiang, Xinjiang  Uygur autonomous region, Xinjiang Uygur Autonomous Region, Xinjiang Uygur Zizhiqu"
42_-100,42,-100,3,1,1,2,1423000.0,9.0,302.0,2.33,May,May:1;June:1;August:1,0.0,0.25,31.06,Nebraska," Nebraska, Nebraska"
42_-4,42,-4,1,0,1,1,4230000.0,53.0,500079.0,2.0,February,February:1,,0.36,34.67,Castilla Y Leon,Burgos province
