grid_id,lat,lon,count,freq_5yr,freq_10yr,freq_20yr,total_damages,total_deaths,total_affected,top_month,monthly_dist,risk_slope,severity_score,severity_score_normalized,primary_admin1,unique_locations
38_112,38,112,1,0,0,1,44000.0,0.0,3020004.0,November,November:1,,-0.23,9.21,Shanxi,Shanxi Province
38_13,38,13,1,0,0,0,0.0,0.0,306.0,June,June:1,,-0.51,0.0,Sicily,Mazara del Vallo
38_139,38,139,1,0,0,0,0.0,0.0,1551.0,April,April:1,,-0.51,0.0,Niigata,Niigata
38_14,38,14,2,0,0,1,750000.0,226.0,55563.0,January,January:1;September:1,,0.79,43.0,Sicily,"Palermo, Western Sicily"
38_141,38,141,4,0,1,2,1416000.0,168.0,20823.0,April,April:1;May:1;June:1;July:1,0.0,1.02,50.53,Miyagi,"Ishinomaki, Miyagi prefecture, Onagawa, Sendai"
38_15,38,15,1,0,0,0,0.0,1.0,302.0,October,October:1,,-0.42,3.16,Sicily,Mt Etna
38_21,38,21,1,1,1,1,178000.0,0.0,2023.0,January,January:1,,-0.2,10.41,Peloponnese; Western Greece And The Ionian Islands,Fiskardo
38_22,38,22,5,0,0,1,422700.0,27.0,16675.0,March,March:2;June:1;July:1;December:1,-0.0135,0.83,44.26,Peloponnese; Western Greece And The Ionian Islands,"Aiyion, Patras, Pyrgos-Amalias, Vartholomio, Vonitsa"
38_23,38,23,1,0,0,0,8000.0,38.0,30253.0,March,March:1,,0.23,24.45,Peloponnese; Western Greece And The Ionian Islands,Corinth
38_24,38,24,1,0,0,1,4200000.0,143.0,115139.0,September,September:1,,0.57,35.8,Attica,Elefsina
38_26,38,26,1,1,1,1,0.0,1.0,731.0,June,June:1,,-0.42,3.16,Aegean, Chios
38_27,38,27,1,0,0,1,0.0,0.0,170.0,April,April:1,,-0.51,0.0,Izmir,Seferihisar
38_28,38,28,1,0,0,0,0.0,0.0,1003.0,October,October:1,,-0.51,0.0,Aydin,Aydin area
38_29,38,29,2,0,0,1,0.0,4.0,9290.0,July,July:1;August:1,,-0.09,13.95,Denizli,"Buldan, Denizli"
38_30,38,30,1,0,0,0,205800.0,94.0,160240.0,October,October:1,,0.44,31.3,Afyon,Dinar
38_36,38,36,1,0,0,1,0.0,0.0,1016.0,July,July:1,,-0.51,0.0,Adana,Geyhan
38_38,38,38,1,0,0,0,0.0,15.0,20100.0,May,May:1,,-0.13,12.64,Adiyaman,Adiyaman
38_39,38,39,1,0,0,1,0.0,1.0,1000.0,May,May:1,,-0.42,3.16,Malatya,Poturge
38_40,38,40,1,0,0,0,0.0,30.0,0.0,March,March:1,,-0.04,15.66,Diyarbakir,Lice-Palu
38_41,38,41,1,0,0,0,17000.0,2385.0,53372.0,September,September:1,,0.82,43.85,Diyarbakir,Lice
38_44,38,44,1,0,1,1,0.0,40.0,105.0,November,November:1,,0.0,16.93,Van,Van province
38_48,38,48,1,0,0,0,76000.0,1100.0,38600.0,February,February:1,,0.75,41.62,Ardebil,Ardabil region
38_49,38,49,2,0,0,1,8000000.0,40001.0,1410010.0,June,June:1;July:1,,1.57,68.62,Gilan,Astara
38_69,38,69,1,0,0,1,0.0,0.0,6000.0,October,October:1,,-0.51,0.0,Khatlon,Farkhor region
38_72,38,72,3,1,2,2,6500.0,132.0,22816.0,January,January:2;December:1,0.0,0.73,41.16,Gorno-Badakhshan," Rushanskiy, Khorog, Vanj"
38_73,38,73,1,0,0,1,0.0,150.0,3513.0,March,March:1,,0.18,22.88,Gorno-Badakhshan,Haut-Badakhchan
39_-122,39,-122,2,1,1,2,750000.0,1.0,28424.0,August,August:1;September:1,,0.14,21.42,California,"Napa Valley, Napa valley"
39_-28,39,-28,2,0,0,0,5000.0,69.0,22900.0,January,January:1;February:1,,0.5,33.32,Azores," Sao Jorge Islands, Sao Jorge Isl."
39_117,39,117,1,0,0,0,0.0,3000.0,53810.0,July,July:1,,0.59,36.51,Tianjin,Tientsin
39_141,39,141,1,0,1,1,167000.0,23.0,448.0,June,June:1,,0.24,24.85,Miyagi,Kurihara
