grid_id,lat,lon,count,freq_5yr,freq_10yr,freq_20yr,total_damages,total_deaths,total_affected,avg_duration,top_month,monthly_dist,risk_slope,severity_score,severity_score_normalized,primary_admin1,unique_locations
30_92,30,92,1,1,1,1,0.0,83.0,0.0,0.0,March,March:1,,0.28,21.32,Xizang,Mozhugongka Xian area 
30_94,30,94,1,0,0,0,0.0,56.0,554.0,0.0,March,March:1,,0.16,19.45,Xizang,Eastern Tibet
31_102,31,102,1,0,0,1,0.0,17.0,0.0,4.0,August,August:1,,-0.19,13.9,Sichuan, Danba area 
31_103,31,103,6,0,1,3,0.0,336.0,55485.0,0.0,June,June:3;July:1;August:1;September:1,0.0,1.32,37.74,Sichuan,"Sichuan, Sichuan Prov., Sichuan Sheng, Sichuan province, Wenchuan area "
31_104,31,104,2,1,2,2,0.0,39.0,0.0,0.0,May,May:1;July:1,,0.25,20.9,Sichuan,"Deyang district, Zhongxing village "
31_108,31,108,1,1,1,1,0.0,10.0,0.0,0.0,September,September:1,,-0.34,11.54,Sichuan,Dazhou
31_110,31,110,1,0,0,1,0.0,33.0,1.0,0.0,November,November:1,,0.0,16.96,Hubei,Badong area 
31_112,31,112,1,0,0,1,890000.0,100.0,15.0,25.0,May,May:1,,4.44,86.99,Hubei, Hubei
31_130,31,130,2,0,0,0,210000.0,83.0,70.0,0.0,July,July:1;August:1,,4.15,82.42,Kagoshima,"Kagoshima City, Kagoshina"
31_35,31,35,1,0,0,0,0.0,20.0,13.0,0.0,December,December:1,,-0.15,14.65,HaDarom,Neot Hakikar
31_75,31,75,1,0,0,0,0.0,255.0,0.0,27.0,July,July:1,,0.62,26.68,Punjab, Pendjab states
31_79,31,79,1,0,0,1,0.0,27.0,0.0,0.0,July,July:1,,-0.06,16.03,Uttarakhand,Rudra Prayag district 
32_104,32,104,1,1,1,1,0.0,83.0,400.0,0.0,June,June:1,,0.28,21.32,Sichuan,Mao County
32_112,32,112,1,1,1,1,0.0,12.0,0.0,0.0,January,January:1,,-0.29,12.34,Hubei,Nanzhang county 
32_71,32,71,1,1,1,1,0.0,9.0,113.0,0.0,February,February:1,,-0.37,11.08,N.W.F.P., Dera Ismail Khan 
32_77,32,77,4,1,1,2,0.0,560.0,3600100.0,6.75,March,March:1;July:1;August:1;September:1,0.0,1.31,37.58,Himachal Pradesh," Himachal Pradesh,  Mandi district , Himachal Pradesh, Kulla "
32_78,32,78,1,0,0,0,0.0,230.0,5000.0,27.0,March,March:1,,0.58,26.18,Himachal Pradesh,Lahaul
33_105,33,105,1,0,1,1,139000.0,54.0,10004.0,9.0,July,July:1,,3.7,75.28,Sichuan, Qingchuan area 
33_106,33,106,1,0,1,1,0.0,18.0,2.0,0.0,July,July:1,,-0.18,14.17,Shaanxi,Lueyang area 
33_76,33,76,1,0,0,1,0.0,16.0,0.0,0.0,August,August:1,,-0.21,13.63,Himachal Pradesh,Chamba district 
34_-118,34,-118,1,0,0,0,0.0,0.0,125.0,0.0,February,February:1,,-1.08,0.0,California,Malibu 
34_-5,34,-5,1,0,0,0,0.0,1.0,12216.0,27.0,April,April:1,,-0.86,3.33,Fes-Boulemane,Fez
34_104,34,104,1,0,1,1,759000.0,1765.0,47200.0,1.0,August,August:1,,5.27,100.0,Gansu,Zhouqu Xian area 
34_131,34,131,1,0,1,1,0.0,28.0,0.0,1.0,July,July:1,,-0.05,16.2,Fukuoka,Hukuoka province
34_132,34,132,1,0,0,0,0.0,13.0,0.0,0.0,January,January:1,,-0.27,12.7,Yamaguchi,Maseguchi
34_70,34,70,1,1,1,1,3000.0,254.0,33057.0,12.0,February,February:1,,3.02,64.52,Nangarhar, Nangarhar
34_74,34,74,8,0,3,5,18000.0,474.0,34952.0,0.0,January,January:3;February:1;March:2;April:1;November:1,0.263,4.49,87.68,Azad Kashmir,"Jammu and Kashmir province, Kashmir, Kashmir = Jamnu and Kashmir , Kashmir province, Kel "
34_75,34,75,1,1,1,1,0.0,28.0,0.0,1.0,January,January:1,,-0.05,16.2,Jammu And Kashmir,Ganderbal district
34_77,34,77,7,1,3,5,50000.0,654.0,5200.0,0.86,February,February:4;March:2;November:1,0.0,4.83,93.14,Jammu And Kashmir," Ladakh, Jammu and Kashmir State, Jammu and Kashmir province, Siachen glacier"
35_-116,35,-116,1,0,0,1,0.0,15.0,15.0,1.0,December,December:1,,-0.23,13.34,California,San Bernardino district 
35_-120,35,-120,1,1,1,1,900000.0,21.0,1366.0,6.0,January,January:1,,3.98,79.71,California,Santa Barbara County 
35_109,35,109,2,0,0,0,0.0,77.0,1000.0,13.5,February,February:1;July:1,,0.45,24.11,Shaanxi,"Huashan region , Shaanxi province"
35_133,35,133,1,1,1,1,38000.0,82.0,67.0,0.0,August,August:1,,3.44,71.13,Hiroshima, Hirosimasi_Asakitaku districts 
35_134,35,134,1,0,1,1,0.0,16.0,400.0,0.0,July,July:1,,-0.21,13.63,Tottori, Tottori provinces
35_69,35,69,6,0,2,4,0.0,454.0,562.0,5.0,February,January:1;February:2;March:2;July:1,0.0,1.41,39.18,Parwan,"Khinjan Pass, Salang - Salang Tunnel Level 1 = Baghlan, Salang district , Salang mountain pass "
35_70,35,70,2,2,2,2,0.0,12.0,0.0,0.0,July,July:1,,-0.09,15.49,Panjshir,"Khenj district, Panjshir"
35_71,35,71,2,1,2,2,0.0,95.0,363.0,0.0,February,February:1;March:1,,0.52,25.11,Nuristan,Nuristan province
35_72,35,72,3,0,0,2,0.0,145.0,314.0,0.33,March,March:2;July:1,0.0,0.79,29.36,N.W.F.P.," Lower Dir District, Ghaeel village , Swat district"
35_73,35,73,5,0,1,4,0.0,137.0,3905.0,0.6,February,February:1;March:1;May:1;July:1;December:1,0.0,0.97,32.25,N.W.F.P.," Bawon Soya Khail,  Mansehra district, Chitta Katha village , Kohistan District district, Ronala village "
36_-1,36,-1,1,0,0,0,0.0,15.0,696.0,0.0,December,December:1,,-0.23,13.34,Oran,Oran
36_111,36,111,1,0,1,1,0.0,277.0,35.0,0.0,September,September:1,,0.64,27.07,Shanxi,Xiangfen area
36_127,36,127,1,0,0,0,100000.0,25.0,0.0,0.0,August,August:1,,3.37,70.12,Jeollabuk-Do,Chonju
36_137,36,137,1,0,0,1,0.0,0.0,130.0,0.0,August,August:1,,-1.08,0.0,Gifu,Gifu Prefecture
36_37,36,37,1,0,0,1,0.0,80.0,23.0,0.0,October,October:1,,0.26,21.14,Aleppo,Jebel_Saman district
36_45,36,45,1,0,0,0,0.0,21.0,0.0,0.0,February,February:1,,-0.13,14.87,West Azarbaijan,Near Sar Dasht
36_51,36,51,1,0,0,1,0.0,20.0,4.0,0.0,February,February:1,,-0.15,14.65,Mazandaran,Chalus district 
36_52,36,52,1,0,0,0,0.0,43.0,100.0,0.0,January,January:1,,0.08,18.2,Tehran,North East of Teheran
36_66,36,66,1,0,0,1,0.0,13.0,300000.0,0.0,January,January:1,,-0.27,12.7,Sari Pul, Sar-e-Pul province
36_71,36,71,1,1,1,1,0.0,24.0,1000.0,0.0,September,September:1,,-0.09,15.49,Badakhshan,Zebak district 
36_72,36,72,1,0,0,1,0.0,43.0,3.0,3.0,March,March:1,,0.08,18.2,N.W.F.P.,Chitral District district 
36_74,36,74,1,0,0,0,0.0,95.0,100.0,0.0,March,March:1,,0.32,21.96,Northern Areas,Phuban 
36_75,36,75,1,0,0,0,0.0,22.0,5.0,0.0,March,March:1,,-0.12,15.08,Northern Areas, Thalestal 
37_111,37,111,1,0,1,1,0.0,23.0,0.0,0.0,November,November:1,,-0.11,15.29,Shanxi,Zhongyang Xiang area 
37_67,37,67,1,0,0,0,0.0,100.0,0.0,0.0,March,March:1,,0.33,22.2,Balkh,Mazar-E-Sharif 
37_70,37,70,1,0,1,1,0.0,29.0,40.0,0.0,January,January:1,,-0.04,16.36,Badakhshan, Shahr-e-Buzorg
