,grid_id,latitude,longitude
874,"(74, 216)",-16.01221103,35.99034862
875,"(74, 216)",-16.74704649,35.14269735
876,"(74, 216)",-16.74537383,35.14298855
877,"(74, 216)",-16.74537383,35.14298855
878,"(74, 217)",-16.65133304,36.98316268
879,"(74, 217)",-16.65133304,36.98316268
880,"(74, 220)",-16.08854415,39.80534615
881,"(74, 220)",-16.08854415,39.80534615
882,"(74, 227)",-16.53699112,46.68467039
883,"(74, 227)",-16.27191218,46.2175861
884,"(74, 230)",-16.38879914,49.36117383
885,"(74, 230)",-16.38879914,49.36117383
886,"(74, 326)",-16.91620789,145.7682661
887,"(74, 336)",-16.6152447,155.0925655
888,"(74, 348)",-16.26677253,167.6443179
889,"(74, 348)",-16.26677253,167.6443179
890,"(74, 348)",-16.26677253,167.6443179
891,"(74, 348)",-16.26677253,167.6443179
892,"(74, 349)",-16.47295522,168.2371783
893,"(74, 349)",-16.18844698,168.1395238
894,"(74, 359)",-16.79218067,178.75047
895,"(74, 359)",-16.79218067,178.75047
896,"(74, 359)",-16.79218067,178.75047
897,"(74, 360)",-16.46429385,179.2954259
898,"(74, 360)",-16.46382013,179.2940788
899,"(75, 7)",-15.93881491,-173.7738264
900,"(75, 7)",-15.93881491,-173.7738264
901,"(75, 7)",-15.93881491,-173.7738264
902,"(75, 7)",-15.93881491,-173.7738264
903,"(75, 7)",-15.93881491,-173.7738264
904,"(75, 108)",-15.8433345,-72.47645611
905,"(75, 108)",-15.8433345,-72.47645611
906,"(75, 108)",-15.8433345,-72.47645611
907,"(75, 108)",-15.41417808,-72.06896212
908,"(75, 108)",-15.8433345,-72.47645611
909,"(75, 108)",-15.8433345,-72.47645611
910,"(75, 108)",-15.84352375,-72.4755394
911,"(75, 108)",-15.84352375,-72.4755394
912,"(75, 108)",-15.8433345,-72.47645611
913,"(75, 109)",-15.57620442,-71.58224758
914,"(75, 109)",-15.63995475,-71.55038552
915,"(75, 109)",-15.57620442,-71.58224758
916,"(75, 110)",-15.46764008,-70.70530799
917,"(75, 111)",-15.12097446,-69.60815099
918,"(75, 112)",-15.22285054,-68.12585593
919,"(75, 112)",-15.22300139,-68.12551947
920,"(75, 112)",-15.22300139,-68.12551947
921,"(75, 112)",-15.58864385,-68.06440404
922,"(75, 112)",-15.22300139,-68.12551947
923,"(75, 112)",-15.22285054,-68.12585593
924,"(75, 112)",-15.58063912,-68.13721069
925,"(75, 112)",-15.22300139,-68.12551947
926,"(75, 112)",-15.22300139,-68.12551947
927,"(75, 113)",-15.75936574,-67.43781594
928,"(75, 113)",-15.75936574,-67.43781594
929,"(75, 125)",-15.45018146,-55.93383161
930,"(75, 193)",-15.49315696,12.72712792
931,"(75, 193)",-15.49315696,12.72712792
932,"(75, 203)",-15.10973088,22.42626141
933,"(75, 204)",-15.64387993,23.67209649
934,"(75, 204)",-15.64387993,23.67209649
935,"(75, 208)",-15.89065942,27.90890527
936,"(75, 209)",-15.60453145,28.48295798
937,"(75, 209)",-15.60453145,28.48295798
938,"(75, 209)",-15.60453145,28.48295798
939,"(75, 210)",-15.35837109,29.21154483
940,"(75, 210)",-15.35837109,29.21154483
941,"(75, 210)",-15.35805064,29.21207311
942,"(75, 213)",-15.5180484,32.76875953
943,"(75, 213)",-15.51668265,32.76817372
944,"(75, 214)",-15.96144878,33.9835884
945,"(75, 215)",-15.66959579,34.94532629
946,"(75, 216)",-15.03607268,35.05558875
947,"(75, 216)",-15.9369444,35.50792739
948,"(75, 216)",-15.03607268,35.05558875
949,"(75, 216)",-15.03607268,35.05558875
950,"(75, 216)",-15.74545653,35.21329337
951,"(75, 216)",-15.68539287,35.78019734
952,"(75, 216)",-15.93730197,35.5093649
953,"(75, 216)",-15.03607268,35.05558875
954,"(75, 220)",-15.09964061,39.26649279
955,"(75, 231)",-15.22264112,50.14276934
956,"(75, 231)",-15.22264112,50.14276934
957,"(75, 231)",-15.22264112,50.14276934
958,"(75, 347)",-15.26327294,166.8910389
959,"(75, 347)",-15.33803811,166.7808898
960,"(75, 347)",-15.26327294,166.8910389
961,"(75, 347)",-15.26327294,166.8910389
962,"(75, 348)",-15.3335208,167.9393507
963,"(75, 349)",-15.47674415,168.056004
964,"(75, 349)",-15.47674415,168.056004
965,"(75, 349)",-15.47674415,168.056004
966,"(75, 349)",-15.47674415,168.056004
967,"(75, 349)",-15.47799271,168.0539135
968,"(75, 349)",-15.47674415,168.056004
969,"(75, 349)",-15.47799271,168.0539135
970,"(76, 10)",-14.28329425,-170.6925123
971,"(76, 10)",-14.25210388,-170.5695243
972,"(76, 11)",-14.22844895,-169.5038124
973,"(76, 105)",-14.94138893,-75.08033017
974,"(76, 106)",-14.09071441,-74.08389069
975,"(76, 106)",-14.09071441,-74.08389069
976,"(76, 106)",-14.61609446,-74.34614635
977,"(76, 106)",-14.09164833,-74.08343953
978,"(76, 108)",-14.4647615,-72.01227062
979,"(76, 108)",-14.06168638,-72.6221218
980,"(76, 108)",-14.0284198,-72.97548682
981,"(76, 108)",-14.43633941,-72.73624188
982,"(76, 109)",-14.08285163,-71.12653003
983,"(76, 110)",-14.81692502,-70.14353537
984,"(76, 111)",-14.99582724,-69.92272646
985,"(76, 111)",-14.99582724,-69.92272646
986,"(76, 111)",-14.99582724,-69.92272646
987,"(76, 111)",-14.99667533,-69.92236365
988,"(76, 111)",-14.99582724,-69.92272646
989,"(76, 111)",-14.03137886,-69.33369928
990,"(76, 112)",-14.64428602,-68.24123855
991,"(76, 113)",-14.74223795,-67.27438876
992,"(76, 194)",-14.73061023,13.83106385
993,"(76, 204)",-14.2386183,23.33954807
994,"(76, 207)",-14.99539839,26.60274004
995,"(76, 209)",-14.17905313,28.59880498
996,"(76, 215)",-14.15803385,34.3664491
997,"(76, 215)",-14.16042252,34.36333532
998,"(76, 216)",-14.26241639,35.13732721
999,"(76, 216)",-14.94346777,35.56794922
1000,"(76, 216)",-14.26112619,35.13529514
1001,"(76, 216)",-14.26112619,35.13529514
1002,"(76, 220)",-14.96481585,39.24779415
1003,"(76, 220)",-14.96481585,39.24779415
1004,"(76, 220)",-14.96481585,39.24779415
1005,"(76, 220)",-14.96481585,39.24779415
1006,"(76, 220)",-14.96481585,39.24779415
1007,"(76, 220)",-14.96481585,39.24779415
1008,"(76, 230)",-14.56811087,49.55531552
1009,"(76, 230)",-14.56811087,49.55531552
1010,"(76, 230)",-14.21476942,49.78464448
1011,"(76, 313)",-14.44592519,132.2718442
1012,"(76, 313)",-14.44592519,132.2718442
